10th July 2023      ,Begun Development                                                ,Add+ ,Started development of framework for Cockpit v2                                                                                  ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
12th July 2023      ,Added Multi-service Proxy                                        ,Add+ ,Added Multi-service Proxy Panel                                                                                                  ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
12th July 2023      ,Added Quick Test                                                 ,Add+ ,Added 'Test' Multi-service Proxy Panel to allow quick testing of Services                                                        ,Multi-Service Proxy ,https://i.imgur.com/mgtUBgN.png
12th July 2023      ,Added Tools Tab                                                  ,Add+ ,Added 'Tools' Tab to allow for quick access to app related tools                                                                 ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
12th July 2023      ,Added Store                                                      ,Add+ ,Added 'Store' Tab to allow for sales of apps and panels to users                                                                 ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
20th July 2023      ,Added XCIPTV                                                     ,Add+ ,Added XCIPTV Panel                                                                                                               ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
20th July 2023      ,Added XCIPTV Theme Visualizer                                    ,Add+ ,Added XCIPTV Theme Visualizer to allow users to visualize how their rebrand will look                                            ,XCIPTV              ,https://i.imgur.com/piaorjB.png
21th July 2023      ,Added iMPlayer                                                   ,Add+ ,Added iMPlayer Panel                                                                                                             ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
21th July 2023      ,Added IPVanish                                                   ,Add+ ,Added IPVanish Panel                                                                                                             ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
21th July 2023      ,Added PIA                                                        ,Add+ ,Added PIA Panel                                                                                                                  ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
21th July 2023      ,Added Smarters Pro                                               ,Add+ ,Added Smarters Pro Panel                                                                                                         ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
8th March 2024      ,Refactored Codebase                                              ,Fix~ ,Refactored the codebase to improve performance and reduce bugs                                                                   ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
